Profile Cohort,PROFILE_GENDER_DESC,PROFILE_RESIDENCE_DESC,Years to Graduation,Admit Group,College,AwC,Ethnicity,YR4Code,YR4NUM,YR5Code,YR5NUM,YR6Code,YR6NUM,YRallCode,YRallNUM,Grad Semester1,DEGREE_DESC,Overall College,MAJOR_DESC,HONOR_DESC,Change College,Change Major,PROFILE_ADMISSIONS_POPULATION,PROFILE_COLLEGE_DESC,PROFILE_MAJOR_DESC,PROFILE_HIGH_SCHOOL_PERCENTILE,SCHOOL_SIZE,MAX(M),MAX(CR),MAX(W),MAX(M+CR),MAX(Total),CoreGPA,Round(CoreGPA),EnglGPA,Round(EnglGPA),MthGPA,Round(MthGPA),LabGPA,Round(LabGPA),FL-Subj,FL-GPA,Round(FL-GPA),AP CALC AB Score,AP CALC ABsub Score,AP CALC BC Score,AP CHEM Score,AP PHYS B Score,AP PHYS Celec Score,AP PHYS Cmech Score
201110.0,Male,Resident,4.0,II,9.0,29.0,2Y,GNN,291.0,GNN,291.0,GNN,,GNN,,201420.0,BS,College of Technology,CNIT - Computer & Information Tech,,NO,NO,B,College of Technology,CIT Core,96.0,163.0,690.0,610.0,620.0,1300.0,1920.0,3.96,4.0,3.91,3.9,4.0,4.0,4.0,4.0,SPAN,3.9,3.9,,,,,,,
201110.0,Male,Non-Resident,5.0,II,6.0,26.0,2Y,NNN,260.0,GNN,261.0,GNN,,GNN,,201510.0,BS,School of Management,MGMT - Management,,NO,NO,B,"School of Management
",Pre Mgmt/Management,,,500.0,540.0,530.0,1040.0,1570.0,3.08,3.1,3.1,3.1,2.97,3.0,2.77,2.8,SPAN,3.3,3.3,,,,,,,
201110.0,Male,Non-Resident,4.0,II,4.0,24.0,2Y,GYY,241.0,GYY,241.0,GYY,,GYY,,201420.0,BS,College of Health & Human Sci,FCPL - Financial Counseling& Planning,,YES,YES,B,"School of Management
",Pre Mgmt/Management,,,580.0,550.0,560.0,1130.0,1690.0,2.84,2.8,3.0,3.0,2.73,2.7,2.45,2.5,SPAN,2.98,3.0,,,,,,,
201110.0,Female,Resident,0.0,II,10.0,20.0,2Y,N,200.0,N,200.0,N,,N,,,,,,,,,B,"Undergraduate Studies Program
",Explorers,96.0,1011.0,510.0,510.0,470.0,1020.0,1490.0,3.76,3.8,3.29,3.3,3.89,3.9,3.9,3.9,GERM,3.9,3.9,,,,,,,
201110.0,Female,Resident,0.0,II,1.0,21.0,2BY,N,210.0,N,210.0,N,,N,,,,,,,,,B,"College of Agriculture
",Animal Science,,,430.0,470.0,450.0,900.0,1350.0,2.62,2.6,3.14,3.1,1.83,1.8,2.8,2.8,SPAN,3.0,3.0,,,,,,,
201110.0,Male,Non-Resident,0.0,II,1.0,21.0,2BY,N,210.0,N,210.0,N,,N,,,,,,,,,B,"College of Agriculture
",Pre Veterinary Medicine,,,430.0,490.0,470.0,920.0,1390.0,3.38,3.4,3.34,3.3,3.5,3.5,3.22,3.2,FREN,3.47,3.5,,,,,,,
201110.0,Female,Resident,4.0,II,1.0,21.0,2BY,GNN,211.0,GNN,211.0,GNN,,GNN,,201420.0,BS,College of Agriculture,WLDL - Wildlife,,NO,NO,B,"College of Agriculture
",Wildlife,,,540.0,640.0,590.0,1180.0,1770.0,3.23,3.2,3.83,3.8,2.67,2.7,2.67,2.7,FREN,4.0,4.0,1.0,,,,,,
201110.0,Female,Non-Resident,0.0,II,1.0,21.0,2BY,N,210.0,N,210.0,N,,N,,,,,,,,,B,"College of Agriculture
",Animal Science,66.0,476.0,560.0,480.0,480.0,1040.0,1520.0,2.67,2.7,2.13,2.1,3.13,3.1,2.78,2.8,SPAN,3.43,3.4,,,,,,,
201110.0,Female,Non-Resident,4.0,II,1.0,21.0,2BY,GNY,211.0,GNY,211.0,GNY,,GNY,,201420.0,BS,College of Agriculture,LAHD - Landscape Horticulture &Design,,NO,YES,B,"College of Agriculture
",Horticulture Science,,,600.0,680.0,670.0,1280.0,1950.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,FREN,4.0,4.0,,,,,,,
201110.0,Female,Non-Resident,0.0,II,2.0,22.0,2BY,N,220.0,N,220.0,N,,N,,,,,,,,,B,"College of Education
",Elementary Education,70.0,549.0,490.0,570.0,570.0,1060.0,1630.0,2.93,2.9,2.67,2.7,2.67,2.7,2.83,2.8,SPAN,3.17,3.2,,,,,,,
201110.0,Female,Non-Resident,5.0,II,1.0,21.0,2BY,NYY,210.0,GYY,211.0,GYY,,GYY,,201520.0,BS,College of Agriculture,NREV - Natural Resources& Envrmtl Sci,,YES,YES,B,College of Engineering,First Year Engineering,97.0,266.0,510.0,430.0,490.0,940.0,1430.0,3.6,3.6,3.67,3.7,3.33,3.3,3.33,3.3,SPAN,4.0,4.0,,,,1.0,,,
201110.0,Male,Resident,5.0,II,9.0,29.0,2BY,NYY,290.0,GYY,291.0,GYY,,GYY,,201510.0,BS,College of Technology,EETC - Electrical Engr Technology,,YES,YES,B,College of Engineering,First Year Engineering,69.0,172.0,560.0,620.0,560.0,1180.0,1740.0,2.66,2.7,2.67,2.7,2.67,2.7,3.0,3.0,LATN,2.17,2.2,1.0,,,,,2.0,1.0
201110.0,Male,Resident,0.0,II,3.0,23.0,2BY,N,230.0,N,230.0,N,,N,,,,,,,,,B,College of Engineering,First Year Engineering,,,580.0,640.0,570.0,1220.0,1790.0,2.74,2.7,2.98,3.0,2.4,2.4,2.22,2.2,SPAN,2.9,2.9,,,,,,,
